2026-03-05 10:43:32,035 | INFO | Loaded 289 formulations from /Users/omerp/Desktop/Formulation Generator/data/formulations.csv
2026-03-05 10:44:12,724 | INFO | FORM_SUBMIT payload={"odor_type": "diesel", "family_type": "herbal", "tags": "pine", "odor_description": "", "intensity_1_10": 5, "cannabis_forward": 6, "fruity_forward": 2, "dessert_forward": 3}
2026-03-05 10:44:39,192 | INFO | FORM_SUBMIT payload={"odor_type": "diesel", "family_type": "herbal", "tags": "pine", "odor_description": "", "intensity_1_10": 5, "cannabis_forward": 10, "fruity_forward": 0, "dessert_forward": 0}
2026-03-05 10:44:59,510 | INFO | FORM_SUBMIT payload={"odor_type": "pine", "family_type": "diesel", "tags": "glue", "odor_description": "", "intensity_1_10": 5, "cannabis_forward": 10, "fruity_forward": 0, "dessert_forward": 0}
2026-03-05 10:45:24,456 | INFO | FORM_SUBMIT payload={"odor_type": "", "family_type": "", "tags": "", "odor_description": "", "intensity_1_10": 5, "cannabis_forward": 0, "fruity_forward": 0, "dessert_forward": 0}
2026-03-05 11:36:21,685 | INFO | DB already has 289 formulations. Skipping CSV load.
2026-03-05 11:36:39,207 | INFO | FORM_SUBMIT payload={"odor_type": "", "family_type": "", "tags": "", "odor_description": "", "intensity_1_10": 5, "cannabis_forward": 0, "fruity_forward": 0, "dessert_forward": 0}
2026-03-05 11:36:39,231 | INFO | TOP5 [{"name": "Blue Cheese", "score": 0.25, "why": {"odor_type": 0.0, "family_type": 0.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 0.5}}, {"name": "OG Formulation", "score": 0.25, "why": {"odor_type": 0.0, "family_type": 0.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 0.5}}, {"name": "Pineapple Express", "score": 0.25, "why": {"odor_type": 0.0, "family_type": 0.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 0.5}}, {"name": "Skunk#1", "score": 0.25, "why": {"odor_type": 0.0, "family_type": 0.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 0.5}}, {"name": "Trainwreck", "score": 0.25, "why": {"odor_type": 0.0, "family_type": 0.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 0.5}}]
2026-03-05 11:37:30,527 | INFO | FORM_SUBMIT payload={"odor_type": "diesel", "family_type": "herbal", "tags": "", "odor_description": "gluey", "intensity_1_10": 5, "cannabis_forward": 5, "fruity_forward": 0, "dessert_forward": 0}
2026-03-05 11:37:30,556 | INFO | TOP5 [{"name": "AK-47 Alpha", "score": 0.666667, "why": {"odor_type": 1.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 0.8333, "forwardness": 1.0}}, {"name": "OG Formulation", "score": 0.48, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 1.0}}, {"name": "STV", "score": 0.48, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 1.0}}, {"name": "Amnesia Haze", "score": 0.457778, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 0.8889, "forwardness": 1.0}}, {"name": "Forbidden Fruit +", "score": 0.452499, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 0.8889, "forwardness": 0.9472}}]
2026-03-05 11:39:35,555 | INFO | DB already has 289 formulations. Skipping CSV load.
