CAS,CAS,Compound Name by Eybna,Compound Name,PubChem_CID,pubchemcid ,Eybna molecules,SMILES,Canonical_SMILES,Isomeric_SMILES,Canonical SMILES,Isomeric SMILES,Physical Description,Description,molecular type,Molecule family,Found in Cannabis,FEMA number,FEMA_No,Botanical Source,molecular mass (g/mol),Molecular Weight [g/mol],Empirical_Formula,molecular formula,Boiling Point [°C] @760 mmHg,boiling point (celsius),Melting Point [°C],Melting point (celcius),Density [g/cm3] @25 °C,density (g/cm3),Flash Point [°C],flash point (celsius),Vapor Pressure [mmHg] @25 °C,vapour pressure (kPa),Water Solubility [mg/L] @25 °C (water),Solubility General,Water Solubility (mg/l @ 20C),Physical State ,Physical State,Physical Description,Oral LD50 rat (mg/kg),Oral LD50 mouse (mg/kg),Dermal LD50 rabbit (mg/kg),ODT(ppb),aroma description,Aroma Color,Intensity (1-10),Flavor,Flavor,Odor,Odor,Odor Threshold,Long Description,Family Type
470-67-7,470-67-7,"1,4-Cineole","1,4 Cineole",10106,10106,0,CC(C)C12CCC(O1)(CC2)C,CC(C)C12CCC(C)(CC1)O2,,CC(C)C12CCC(O1)(CC2)C,,Liquid,"Present in eucalyptus and rosemary, 1,4 cineole (also known as eucalyptol) has a cool, minty aroma. It's used in pharmaceuticals for its respiratory benefits and in aromatherapy for its refreshing, invigorating effects.",Monoterpene ,Terpenes,1,3658,3658,Eucalyptus leaves,154.25,154.25,C10H18O,C10H18O,,65,1,-46,,0.887,,48,,0.257,,,211.3,liquid ,liquid,Liquid,3100,,5000,,"Herbal, Minty",,,,,,,,,
110-43-0,110-43-0,2-Heptanone,2 Heptanone,8051,8051,1,CCCCCC(=O)C,CCCCCC(C)=O,,CCCCCC(=O)C,,"N-amyl methyl ketone appears as a clear colorless liquid. Flash point 126 °F. Less dense than water and only slightly soluble in water. Hence floats on water. Vapors heavier than air. Density 6.8 lb / gal. Used as a synthetic flavoring and in perfumes.; Liquid; Colorless to white liquid with a banana-like, fruity odor; [NIOSH]; COLOURLESS LIQUID WITH CHARACTERISTIC ODOUR.; colourless, mobile liquid with a fruity, spicy odour; Colorless to white liquid with a banana-like, fruity odor.","Found in blue cheese and some fruits, 2 heptanone has a fruity, slightly cheesy aroma. It's used in food flavoring for its unique taste and in the chemical industry as a solvent.",Ketone,Oxygenated Aliphatics,1,2544,2544,clove and cinnamon bark oil,114.19,114.19,C7H14O,C7H14O,148.89,151,-35,-35.5,,800,38.89,39,3.85,3,3,"0.4 % (NIOSH, 2024); Soluble in alcohol and ether; 0.43% (by wt) in water; Miscible with organic solvents; In water, 4.28X10+3 mg/L at 25 °C; 4.3 mg/mL at 25 °C; Solubility in water: poor; miscible with alcohol and ether; 1 ml in 250 ml water; 0.4%",Slightly soluble in water,liquid ,gas,"N-amyl methyl ketone appears as a clear colorless liquid. Flash point 126 °F. Less dense than water and only slightly soluble in water. Hence floats on water. Vapors heavier than air. Density 6.8 lb / gal. Used as a synthetic flavoring and in perfumes.; Liquid; Colorless to white liquid with a banana-like, fruity odor; [NIOSH]; COLOURLESS LIQUID WITH CHARACTERISTIC ODOUR.; colourless, mobile liquid with a fruity, spicy odour; Colorless to white liquid with a banana-like, fruity odor.",1670,750,,,banana,,,PEAR-LIKE FLAVOR,,,"Penetrating fruity odor; CHARACTERISTIC BANANA, SLIGHTLY SPICY ODOR; Banana-like fruity odor",Odor Threshold Low: 0.18 [ppm]; Odor Threshold High: 0.19 [ppm]; Odor threshold from AIHA; About 0.020 ppm; Detection: 0.14 mg/kg; recognition: 3.0 mg/kg; 0.15 to 0.35 ppm,,
110-93-0,110-93-0,6-Methyl-5-Hepten-2-one,6 Methyl 5 Hepten 2 one,9862,9862,1,CC(=CCCC(=O)C)C,CC(=O)CCC=C(C)C,,CC(=CCCC(=O)C)C,,"Liquid; Colorless liquid; [Hawley]; Colorless to yellowish liquid with a strong odor; [OECD SIDS]; Colourless slightly yellow liquid; strong fatty, green citrus-like odour","Derived from tomatoes and citrus fruits, 6 methyl 5 hepten 2 one offers a fresh, fruity aroma. It's used in perfumery to add a subtle, natural fruitiness to fragrances and in flavorings for its refreshing taste.",Ketone,Oxygenated Aliphatics,1,2707,2707,"citronella, palmarosa",126.199,126.2,C8H14O,C8H14O,173,173.5,-67.1,−67.1,,0.8546,57.22,50,,0.099,,"INSOL IN WATER; SOL IN ALL PROP WITH ALCOHOL, ETHER; 3351 /mg/L @ 20 °C (exp); Insoluble in water; soluble in oils and organic solvents; Miscible at room temperature (in ethanol)",insoluble,liquid ,liquid,"Liquid; Colorless liquid; [Hawley]; Colorless to yellowish liquid with a strong odor; [OECD SIDS]; Colourless slightly yellow liquid; strong fatty, green citrus-like odour",3500,2410,5000,,citrus,,,FRUITY TASTE,,,"POWERFUL, FATTY, GREEN, CITRUS ODOR",,,
515-69-5,515-69-5,Alpha-Bisabolol,Alpha-Bisabolol,1549992,1549992,1,CC1=CC[C@@H](CC1)[C@@](C)(CCC=C(C)C)O,CC(C)=CCCC(C)(O)C1CC=C(C)CC1,CC(C)=CCC[C@@](C)(O)[C@H]1CC=C(C)CC1,CC1=CCC(CC1)C(C)(CCC=C(C)C)O,CC1=CC[C@H](CC1)[C@](C)(CCC=C(C)C)O,Clear colourless liquid; Fruity nutty aroma with hints of coconut,"Derived from chamomile and candeia tree, alpha-bisabolol has a sweet, floral scent. It's a common ingredient in cosmetics for its skin-soothing properties and is believed to aid in wound healing.",Sesquiterpenic alcohol,Terpenes,1,4666,4666,Candeia/Lemon oil,222.4,222.37,C15H26O,C15H26O,,153,,25,,0.922,,143,,0.000015,,Practically insoluble or insoluble in water; Slightly soluble (in ethanol),Insoluble,liquid ,liquid,Clear colourless liquid; Fruity nutty aroma with hints of coconut,2000,,5000,,floral,#f9bd8f,,,,Chamomile,,,"Chamomile, Honey, Sweet, Floral, Perfume",Floral
127-41-3,127-41-3,Alpha-Ionone,Alpha-Ionone,5282108,5282108,1,CC1=CCCC(C1/C=C/C(=O)C)(C)C,CC(=O)C=CC1C(C)=CCCC1(C)C,CC(=O)/C=C/C1C(C)=CCCC1(C)C,CC1=CCCC(C1C=CC(=O)C)(C)C,CC1=CCCC(C1/C=C/C(=O)C)(C)C,"Dry Powder, Liquid; Liquid; colourless to pale-yellow liquid with a warm, woody, violet-floral odour","Sourced from violets and other floral sources, alpha-ionone is known for its sweet, woody-violet aroma. It's a key ingredient in fragrances and cosmetics, valued for its pleasant scent and as a fragrance fixative.",Ketone,Oxygenated Aliphatics,1,2594,2594,Osmanthus fragrans,192.3,192.3,C13H20O,C13H20O,258,237,,25,,0.922,118,110,0.019,0.00187,106,"In water, 106 mg/L at 25 °C; Soluble in alcohol, most fixed oils, propylene glycol; insoluble in glycerin; Miscible with absolute alcohol. Soluble in 2 to 3 parts of 70% alcohol, ether, chloroform, benzene. Very slightly soluble in water. /mixed ionone isomers/; soluble in alcohol, propylene glycol, most fixed oils; insoluble in glycerol and water; 1 ml in 3 ml 70% alcohol; 1 ml in 10 ml 60% alcohol (in ethanol)",Insoluble,liquid ,liquid,"Dry Powder, Liquid; Liquid; colourless to pale-yellow liquid with a warm, woody, violet-floral odour",4590,,5000,"[0.6,10]",floral,#f92e64,,"Woody, floral, berry, fruity with powdery nuances",Sweet,Berry candy,"It has a warm, woody, floral odor with balsamic and sweet tones and is strongly reminiscent of violet flowers.; Sweet-floral odor, reminiscent of violets",,"Berry jam, peachy, fruity, creamy, cherry","Candy, Creamy, Sweet"
99-83-2,99-83-2,Alpha-Phellandrene,Alpha-Phellandrene,7460,7460,1,CC1=CCC(C=C1)C(C)C,CC1=CCC(C(C)C)C=C1,,CC1=CCC(C=C1)C(C)C,,"Colorless liquid; [Hawley]; Liquid; Colourless to slightly yellow, mobile liquid; peppery, woody, herbaceous aroma","Found in eucalyptus and ginger grass, alpha-phellandrene is characterized by its minty, citrus aroma. It's used in fragrances and as a flavoring agent, known for its antifungal properties.",Monoterpene,Terpenes,1,2856,2856,Eucalyptus oil,167.1,136.23,C10H16,C7H5NO4,,175,249,25,,1.643,,46,,0.25,,PRACTICALLY INSOL IN WATER; SOL IN ETHER /D- & L-FORMS/; 5000 mg/L @ 25 °C (exp); Insoluble in water; soluble in oils; Soluble (in ethanol),Insoluble,solid,liquid,"Colorless liquid; [Hawley]; Liquid; Colourless to slightly yellow, mobile liquid; peppery, woody, herbaceous aroma",5700,,5000,"[40,200]",citrus,#f9d7f1,,,,Camphory,,,"Diesel, camphorous, Minty. Grapefruit notes, spicy-sour background.","Camphorous, Diesel"
7785-26-4,7785-26-4,Alpha-Pinene,Alpha-Pinene,440968,82227,1,CC1=CC[C@H]2C[C@@H]1C2(C)C,CC1=CCC2CC1C2(C)C,CC1=CC[C@H]2C[C@@H]1C2(C)C,CC1(C2CC1C3(C(C2)O3)C)C,,Liquid with an odor of turpentine; [Merck Index] Colorless liquid; [Acros Organics MSDS]; Liquid,"Found in pine needles and rosemary, alpha-pinene is known for its fresh, piney aroma. Used primarily in the production of turpentine and as an anti-inflammatory agent, it also enhances alertness and memory.",Monoterpene,Terpenes,1,2902,2902,Turpentine oil,136.2,136.23,C10H16,C10H16,,156,-62,−62.80,,0.00086,,31,,0.69,,,Insoluble,liquid ,liquid,Liquid with an odor of turpentine; [Merck Index] Colorless liquid; [Acros Organics MSDS]; Liquid,3700,,5000,"[2.5,62]",herbal,#7af1be,,,,Fresh clean pine,,,"Cleaning product, green, herbaceous, diesely, terpentine, sweet pine","Diesel, Fresh, Herbal"
99-86-5,99-86-5,Alpha-Terpinene,Alpha-Terpinene,7462,7462,1,CC1=CC=C(CC1)C(C)C,CC1=CC=C(C(C)C)CC1,,CC1=CC=C(CC1)C(C)C,,"Liquid; Liquid; [Sigma-Aldrich MSDS]; Solid; Colourless oily liquid; refreshing, lemony-citrus aroma","Commonly found in cardamom and marjoram, alpha-terpinene is known for its fresh, herbal aroma. It's used in the production of cosmetics and cleaning agents, valued for its antioxidant and antimicrobial properties.",Monoterpene,Terpenes,1,3558,3558,Citrus fruits,136.2,136.23,C10H16,C10H16,,173,25,25,,0.837,,47,,0.24,,Insoluble in water; soluble in most fixed oils; Soluble (in ethanol),Insoluble,liquid ,liquid,"Liquid; Liquid; [Sigma-Aldrich MSDS]; Solid; Colourless oily liquid; refreshing, lemony-citrus aroma",1680,,5000,100000000,woody,#abb182,,,,Diesely citrus,,,"Bitter lemon, petroleum, diesely citrusy notes, a bit skunky.","Citrus, Sour, Diesel"
98-55-5,98-55-5,Terpineol,Alpha-Terpineol,17100,17100,1,CC1=CCC(CC1)C(C)(C)O,CC1=CCC(C(C)(C)O)CC1,,CC1=CCC(CC1)C(C)(C)O,,"Liquid; Liquid, Other Solid; Liquid; White solid with an odor of lilac; [HSDB] Some forms are liquid; [Merck Index] White low melting solid; mp = 31-32 deg C; [MSDSonline]; Liquid; [Sigma-Aldrich MSDS]; colourless, viscous liquid with a lilac-like odour","Found in pine trees and cajuput oil, alpha-terpineol is known for its pleasant lilac-like aroma. It's widely used in perfumes, soaps, and as a flavoring agent, offering calming and antioxidant properties.",Monoterpenic Alcohol,Terpenes,1,3045,3045,Pine oil,,154.25,C10H18O,C15H22O3,,219,-40,-33,,0.935,,162,,0.0053,7100,"1:8 OR MORE IN 50% ALCOHOL; SOL IN PROPYLENE GLYCOL; Very soluble in benzene, acetone; Very soluble in alcohol, ether; In water, 7100 mg/L at 25 °C; slightly soluble in glycerol and water; 1 ml in 2 ml 70% alcohol; 1 ml in 4 ml 60% alcohol (in ethanol)",2420,liquid ,liquid,"Liquid; Liquid, Other Solid; Liquid; White solid with an odor of lilac; [HSDB] Some forms are liquid; [Merck Index] White low melting solid; mp = 31-32 deg C; [MSDSonline]; Liquid; [Sigma-Aldrich MSDS]; colourless, viscous liquid with a lilac-like odour",4300,,3000,"[280,350]",terpenic,#812d6c,,"Lime (distilled); Peach, floral (lilac) flavor; Sweet, lime taste",,Earthy perfume,"Floral, lilac",Aroma threshold values: Detection: 280-350 ppb,"Soft diesel, mint notes, slightly floral, fermented, citrus notes","Earthy, Diesel, Floral"
2867-05-02,2867-05-02,Alpha-Thujene,Alpha-Thujene,17868,17868,1,CC1=CCC2(C1C2)C(C)C,CC1=CCC2(C(C)C)CC12,,CC1=CCC2(C1C2)C(C)C,,,"Derived from eucalyptus and sage, alpha thujene has a fresh, herbal aroma. It's used in perfumery for its uplifting scent and in traditional medicine for its antifungal and antibacterial properties.",Monoterpene ,Terpenes,1,,,"thyme, eucalyptus",136.23,136.23,C10H16,C10H16,,152,,-63,,0.935,,36,,4.77,,,insoluble,liquid ,,,5000,,,,"woody, herb ",,,,,,,,,
