uuid,Name,Product Code,Density,Density Range,Measured Ref. Index - AVG,RI Range,Product Line,Aroma Color,Notes Color (Secondary),Intensity 1-10,Cannabis Forward,Fruity Forward,Dessert Forward,Odor Type,Odor Description,Tags,Family Type,Main Terpenes,Density g/cc,Density_avg,Refractive_Index_avg
e7c4b9b5-95c0-4855-ac7a-46307471b3eb,AK-47 Alpha,6-33-9999,"[0.82, 0.8028, 0.8532, 0.8238, 0.8280]",0.793 - 0.859,"1.4735, 1.4754, 1.4760, 1.4768, 1.4759",1.446 - 1.505,Pure Terpenes Line,#107600,#7b7d5e,3.5,2,,,Diesel,"A pronounced piney presence with a peppery, herbal sharpness and a finish that evokes the scent of glue.","pine, Herbal, Glue, peppery",Herbal,"Myrcene, Alpha Pinene, Beta Caryophyllene",,0.82556,1.47552
13881dfd-2f29-4112-9c39-424d4927629e,Amnesia Haze,9-534-9999,".8576, 0.8597, 0.8583, 0.8389, 0.859, 0.8392, 0.8358, 0.8292, 0.851, 0.8312, 0.8398, 0.8356, 0.8536, 0.8588, 0.8482",0.813 - 0.880,"1.478, 1.4798, 1.4795, 1.4794, 1.478, 1.4808, 1.4806, 1.4787, 1.4815, 1.4811, 1.4803, 1.4811, 1.4795, 1.4815, 1.4819",1.451 - 1.51,Pure Terpenes Line,#b2c0a4,#f6fd93,4,2,0,0,Lemon Verbena,"Sweet herbal body, resembles lemon verbena tea","Camphorous, citrus, Herbal, Verbena",Herbal,"linalool, Beta Caryophyllene, Myrcene",,0.846393333,1.480113333
82990a14-4c5b-412a-80a9-a03890a071f9,Blue Cheese,6-17-9999,"0.8458, 0.8258, 0.8372, 0.8234, 0.8378, 0.8288",0.800 - 0.866,"1.4749, 1.4754, 1.4757, 1.4779, 1.4772, 1.4782",1.447 - 1.506,Pure Terpenes Line,#efdb8e,#8d9bbd,5,2,1,0,Cheese Plate,"blue cheese haze, tropical mango body with light sour notes","Sour, BlueCheese, Cheese, Fruity","Cheesy, Haze","Myrcene, Alpha Pinene, Beta Caryophyllene",0.8383,0.833133333,1.47655
2bd03747-67ae-46d7-b98f-083c4de10443,Blue Dream,6-510-9999,".8251, 0.8549, 0.84, 0.8453, 0.8304, 0.834, 0.8346, 0.8234, 0.8302, 0.8346, 0.8306, 0.8216, 0.8382, 0.8182",0.800 - 0.866,"1.4815, 1.4737, 1.4730, 1.4763, 1.4768, 1.4748, 1.466, 1.4734, 1.4747, 1.4755, 1.4754, 1.4751, 1.4762, 1.4757",1.445 - 1.504,Pure Terpenes Line,#0d23cd,#e996f4,3.5,2,1,,Purple Floral,"A very floral and delicate profile leaning towards lavender, with tones of ""blue"" aromas","Floral, Lavender",Floral,"Myrcene, Alpha Pinene, Beta Caryophyllene",0.83,0.832935714,1.474864286
b083a8e8-e515-4d4d-bdbd-d369020f09e2,Blueberry,06/01/9999,"0.8438, 0.8373, 0.8329, 0.8282, 0.8361, 0.8212, 0.81888, 0.834, 0.8318",0.798 - 0.865,"1.4730, 1.4744, 1.4741, 1.4747, 1.4744, 1.4728, 1.4731, 1.4764, 1.4762",1.445 - 1.504,Pure Terpenes Line,#ff7eec,#bbe478,3,1,2,0,Herbal Berries,"Sweet lemonade with fresh berry notes
","Lemonade, Lime, Sprite, BerryNotes, Camphorous, LightMint",Fruity,"Myrcene, Alpha Pinene, Limonene",0.853,0.831575556,1.474344444
13895f4f-cc26-4f3a-a82c-9b60e468fd43,Bubba Kush,06/04/9999,".8789, 0.8782, 0.8848, 0.8664, 0.8526, 0.8564, 0.8592, 0.8614, 0.8388, 0.8638, 0.8434",0.828 - 0.897,"1.4815, 1.4799, 1.4835, 1.482, 1.4824, 1.4837, 1.4840, 1.4834, 1.4829, 1.4845, 1.4847",1.453 - 1.513,Pure Terpenes Line,#e2b5ce,#4bd13b,3,2,3,0,Sweet Pine,Sharp sweet top note with a strong almost soap-like body. ,"soap, pine, Floral, Perfume","Floral, Spicy","Beta Caryophyllene, Limonene, Alpha Bisabolol",0.878,0.862172727,1.482954545
a6c1ca87-7625-435a-8041-3e48b3489613,Dosidos,6-537-9999,"0.8572, 0.8238, 0.8596, 0.8354",0.810 - 0.878,"1.4759, 1.4761, 1.4755, 1.4772",1.447 - 1.506,Pure Terpenes Line,#ed8989,#737651,4.5,2,1,,Floral Herbal,Fruity with skunky notes. a bit of bitter at the end,"Skunk, Fruity, Bitter",Fruity,"Limonene, linalool, Beta Caryophyllene",0.868,0.844,1.476175
4fcd107e-447e-474d-91ce-faa83d2fbaa7,Durban Poison,6-505-9999,"0.8619, 0.862, 0.833, 0.8458, 0.8438",0.815 - 0.883,"1.4815, 1.4816, 1.4833, 1.4837, 1.4841",1.453 - 1.512,Pure Terpenes Line,#c4ab6f,#faae3a,4,2,,0,Fresh Diesel,deep diesel with a hint of fresh citrus. a bit of old leather,"Diesel, citrus, Fresh","Diesel, Citrus","Terpinolene, Beta Caryophyllene, Limonene",,0.8493,1.48284
d26c37d5-d299-4a96-8468-f223413c33f4,Dutch Treat Haze,6-19-9999,"0.8819, 0.892, 0.867, 0.8609, 0.8526, 0.8466, 0.8704, 0.8762, 0.8574, 0.8614, 0.8598",0.831 - 0.901,"1.4863, 1.488, 1.4893, 1.4888, 1.4878, 1.4894, 1.4907, 1.4907, 1.4909, 1.4916, 1.4916",1.46 - 1.519,Pure Terpenes Line,#ff8080,#93c349,6,2,1,0,Sweet diesel,"A sweet, hazy base - herbal with a layer of almost candy-like fruity sweetness, creating a sweet profile with a distinct hazy character.","strawberry, Sour, sweet, Haze, Fruity, Candy","Candy, Haze","Beta Caryophyllene, Terpinolene, Humulene",0.8728,0.866018182,1.489554545
ecd877df-7ded-4372-97c2-0f22c92d70b8,GG#4,6-506-9999,"0.8473, 0.8211, 0.8664, 0.8448, 0.8446, 0.837, 0.8520, 0.8516, 0.8570, 0.8674, 0.8490, 0.8620, 0.8398, 0.8492, 0.8386",0.815 - 0.882,"1.4827, 1.4825, 1.4824, 1.4826, 1.4820, 1.4833, 1.4827, 1.4840, 1.4836, 1.4848, 1.4850, 1.4847, 1.4853, 1.4843, 1.4846",1.454 - 1.513,Pure Terpenes Line,#802e2e,#f9c2c2,4,2,,,Earthy Musk,Muddy-earthy body with musky and fruity notes. Glue back notes.,"Glue, Earthy, Mud, Musk","Earthy, Musky","Beta Caryophyllene, Limonene, Myrcene",0.869,0.84852,1.483633333
cd120801-b814-4e64-9d66-0134d65f28a6,GMO,6-30-9999,"0.8294, 0.8382, 0.8242, 0.8466, 0.8342",0.801 - 0.868,"1.4779, 1.4792, 1.4789, 1.4788, 1.4792",1.449 - 1.508,Pure Terpenes Line,#ce9e6e,#859681,6.5,4,2,,Green Guava,Characterized by its dominant pungent skunky aroma with notes of tropical fruit,"Guava, tropical, rottenegg, Sulfuric, Sweat",Skunk,"Myrcene, Limonene, Beta Caryophyllene",0.854,0.83452,1.4788
a786da00-c0f6-48aa-a1f8-91985f414f00,Green Crack,6-513-9999,"0.8493, 0.8276, 0.8252, 0.8362, 0.8330, 0.8364, 0.8428, 0.8316",0.802 - 0.869,"1.4796, 1.4790, 1.4793, 1.4790, 1.4790, 1.4797, 1.4805, 1.4803",1.45 - 1.509,Pure Terpenes Line,#eb7aab,#c0ad66,4,2,,,Fruity Glue,"fresh, earthy  and fruity, a bit of citrus notes","Fruity, Earthy",Fruity,"Myrcene, Beta Caryophyllene, Limonene",0.847,0.8352625,1.47955
efd80caa-783a-487b-96ce-977716dc4608,GSC,6-36-9999,"0.8699, 0.825, 0.8444, 0.8434",0.812 - 0.880,"1.4830, 1.4825, 1.4858, 1.4854",1.454 - 1.514,Pure Terpenes Line,#c2d6b3,#f1d9b7,3,1,,,Fresh Herbs,Citrus and herbal body with low metallic and doughy notes.,"Camphorous, pine, Herbal, Glue, Spicy, Bitter",Camphorous,"Beta Caryophyllene, Limonene, Myrcene",0.859,0.845675,1.484175
c8686088-60b9-4bd2-b5d1-1d1854183e4b,Jack Herer,06/12/9999,".856, 0.8592, 0.8003, 0.8383, 0.833, 0.8408, 0.8428, 0.8424, 0.8622, 0.8374, 0.8524, 0.8512, 0.8474, 0.8538, 0.8422, 0.8618, 0.8390, 0.8496, 0.8348, 0.8388",0.810 - 0.878,"1.4825, 1.4818, 1.4835, 1.4848, 1.4823, 1.4853, 1.4850, 1.4851, 1.4845, 1.4811, 1.4844, 1.4839, 1.4842, 1.4841, 1.4842, 1.4847, 1.4858, 1.4857, 1.4856, 1.4857",1.455 - 1.514,Pure Terpenes Line,#847471,#758a50,6,3,1,0,Fresh Diesel,"Bold diesel-earthy body with spicy and apple notes reminiscent of apple cider. strong pine notes, forest in the winter, a bit moss and wet dirt. layers of strong terpinolene and myrcene. Mid citrus notes. bit Gassy & Pungent","Apple, Sour, Gas, Terpinolene, Petrol, Haze","Diesel, Haze","Terpinolene, Beta Caryophyllene, Beta-Ocimene",0.862,0.84417,1.48421
95eee72d-c387-4c42-8c73-ad78079d5b4b,Lemon Diesel,6-554-9999,"0.863, 0.8530",0.824 - 0.892,"1.4775, 1.4800",1.449 - 1.508,Pure Terpenes Line,#c4b26d,#ceed59,3.5,2,1,,Lemon Diesel,diesel herbal lemon,"Lime, Diesel, citrus","Diesel, Citrus","Limonene, Beta Caryophyllene, linalool",0.887,0.858,1.47875
6e979588-e4a4-451a-83ff-226458280cfd,Mango Kush,6-13-9999,"0.8267, 0.8223, 0.8282, 0.8024, 0.8102, 0.8034",0.783 - 0.848,"1.447, 1.4743, 1.4763, 1.4745, 1.4758, 1.4752",1.441 - 1.5,Pure Terpenes Line,#e59d2f,#350101,3.5,1,2,,Tropical Kush,"A pronounced piney presence with a peppery, herbal sharpness and a finish that evokes the scent of glue. Bit mangoes'","tropical, Glue, Mango, peppery","Earthy, Tropical","Myrcene, Beta Caryophyllene, Limonene",0.835,0.815533333,1.470516667
